Date,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Food System Impact,All Food Security Categories,Event ID,Date Event Entered,Date Event Modified
21/12/2024,OPT,PSE,Gaza Strip,"31,4964","34,4522",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Food Supply,"Attack On a Market/Restaurant/Supermarket/Bakery, Access Constraints",91138,13/3/2025,18/9/2025
20/12/2024,OPT,PSE,Gaza Strip,"31,55012685","34,50331338","(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,Disruption Of Aid,88171,5/2/2025,18/9/2025
19/12/2024,OPT,PSE,Gaza Strip,"31,5086","34,4493",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Food Supply,"Attack On a Market/Restaurant/Supermarket/Bakery, Access Constraints",91136,13/3/2025,18/9/2025
18/12/2024,OPT,PSE,Gaza Strip,"31,4323","34,3283",(7) Estimated sea/air coordinates,Host Government: Military,Israeli Defence Forces,Firearms,"Food Production, People Carrying Out Food Activity","Attack On Persons Carrying Out Food Activity, Damage/Destruction Of Food-Related Equipment",91135,13/3/2025,18/9/2025
17/12/2024,OPT,PSE,Gaza Strip,"31,4284","34,366",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Food Production,Damage/Destruction Of Agricultural Land,91134,13/3/2025,18/9/2025
15/12/2024,OPT,PSE,Gaza Strip,"31,5304","34,4215",(7) Estimated sea/air coordinates,Host Government: Military,Israeli Defence Forces,Firearms,Food Production,Damage/Destruction Of Food-Related Equipment,91130,13/3/2025,18/9/2025
14/12/2024,OPT,PSE,Gaza Strip,"31,3424","34,325",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Food Production,Damage/Destruction Of Agricultural Land,91127,13/3/2025,18/9/2025
12/12/2024,OPT,PSE,Gaza Strip,"31,2752047","34,2558269","(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Food Supply,Damage/Destruction Of Commercial Food Transport,90724,13/3/2025,18/9/2025
11/12/2024,OPT,PSE,Gaza Strip,"31,4323","34,3283",(7) Estimated sea/air coordinates,Host Government: Military,Israeli Defence Forces,Firearms,People Carrying Out Food Activity,Attack On Persons Carrying Out Food Activity,91120,13/3/2025,18/9/2025
10/12/2024,OPT,PSE,Gaza Strip,"31,4525","34,3756",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,No Information on the Weapon Used,People Carrying Out Food Activity,Attack On Persons Carrying Out Food Activity,91118,13/3/2025,18/9/2025
